,nct_id,0,1,2,3,4,5,6,7,8,9,valid_sentiments,mode,lf
0,NCT02157714,"{'position': 1, 'link': 'https://parkinsonsnewstoday.com/news/prasinezumab-failure-parkinsons-phase-2-trial-detailed/', 'title': ""Prasinezumab Failure in Parkinson's Phase 2 Trial Detailed |..."", 'source': ""Parkinson's News Today"", 'date': 'Aug 8, 2022', 'snippet': ""Treatment with prasinezumab, a monoclonal antibody designed to break up \ntoxic alpha-synuclein aggregates, failed to slow the progression of \nParkinson's disease..."", 'thumbnail': 'https://serpapi.com/searches/6721b14bd9c3e647117f1cbd/images/30bc27b2c58cf9de6e381c5f5b2767878ac2e57de04bbd60d11791fcede0a565.png', 'sentiment': 'negative', 'sentiment_prob': 0.7795194983482361}",,,,,,,,,,['negative'],negative,0
1,NCT03086343,"{'position': 1, 'link': 'https://www.nejm.org/doi/full/10.1056/NEJMoa2008250', 'title': 'Trial of Upadacitinib or Abatacept in Rheumatoid Arthritis', 'source': 'The New England Journal of Medicine', 'date': 'Oct 14, 2020', 'snippet': 'Upadacitinib is an oral selective Janus kinase inhibitor to treat \nrheumatoid arthritis. The efficacy and safety of upadacitinib as compared...', 'thumbnail': 'https://serpapi.com/searches/6721b155adc33bdf8466fd27/images/43cbb0de0312136cddb98b91e28de571c201b1535deb68c5f04ea81c2fdd614c.png', 'sentiment': 'neutral', 'sentiment_prob': 0.876733124256134}",,,,,,,,,,['neutral'],neutral,1
2,NCT02192424,"{'position': 1, 'link': 'https://www.nature.com/articles/s41467-023-40287-w', 'title': 'Determinants of sustained stabilization of beta-cell function following short-term insulin therapy in type 2 diabetes', 'source': 'Nature', 'date': 'Jul 27, 2023', 'snippet': 'In early type 2 diabetes, the strategy of “induction” with short-term \nintensive insulin therapy followed by “maintenance” with metformin can...', 'thumbnail': 'https://serpapi.com/searches/6721b1825416d8e6ac1cfa69/images/5ff7ffb3cb20167878647571d036c8103b24ace0f66d617ee07ddac6cdaac77f.png', 'sentiment': 'neutral', 'sentiment_prob': 0.8652159571647644}",,,,,,,,,,['neutral'],neutral,1
3,NCT04886596,"{'position': 1, 'link': 'https://www.nejm.org/doi/full/10.1056/NEJMoa2209604', 'title': 'Respiratory Syncytial Virus Prefusion F Protein Vaccine in Older Adults', 'source': 'The New England Journal of Medicine', 'date': 'Feb 15, 2023', 'snippet': 'Respiratory syncytial virus (RSV) is an important cause of acute \nrespiratory infection, lower respiratory tract disease, clinical...', 'thumbnail': 'https://serpapi.com/searches/6721b18f81bab782f00122a2/images/da5561971d7a5b0ad2832799b633c8c394f3868c8cb3544baddae8da8ee89463.jpeg', 'sentiment': 'negative', 'sentiment_prob': 0.5248604416847229}","{'position': 2, 'link': 'https://www.drugtopics.com/view/breaking-fda-approves-first-ever-rsv-vaccine', 'title': 'Breaking: FDA Approves First-Ever RSV Vaccine', 'source': 'Drug Topics', 'date': 'May 3, 2023', 'snippet': 'The vaccine is approved for use in adults aged 60 and older to prevent \nlower respiratory tract disease caused by RSV.', 'thumbnail': 'https://serpapi.com/searches/6721b18f81bab782f00122a2/images/da5561971d7a5b0a0b914a0f9b3a1525c5b32e36afc0d6eefc9ba8b3be5ea3ba.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.6009575724601746}","{'position': 3, 'link': 'https://www.drugtopics.com/view/gsk-s-rsv-vaccine-now-available-in-us-pharmacies-what-you-need-to-know', 'title': 'GSK’s RSV Vaccine Now Available in Some US Pharmacies: What You Need to Know', 'source': 'Drug Topics', 'date': 'Aug 1, 2023', 'snippet': ""The FDA approved GSK's Arexvy on May 3, 2023, making it the first vaccine \nto prevent lower respiratory tract disease caused by RSV in adults aged 60 \nand older."", 'thumbnail': 'https://serpapi.com/searches/6721b18f81bab782f00122a2/images/da5561971d7a5b0a081abe794899ac6a260951750a332921a7f75f174ee72c93.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.7245526313781738}","{'position': 4, 'link': 'https://www.drugtopics.com/view/the-value-of-good-neighbor-pharmacy-today-and-tomorrow', 'title': 'The Value of Good Neighbor Pharmacy Today and Tomorrow', 'source': 'Drug Topics', 'date': 'Oct 7, 2020', 'snippet': ""Brian Nightengale, President of GNP, discusses the value of Good Neighbor \nPharmacy's services and solutions in supporting independent..."", 'thumbnail': 'https://serpapi.com/searches/6721b18f81bab782f00122a2/images/da5561971d7a5b0a66f27d0c002a1a71566688c4fd725b94a17f14b6f84bf2ae.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.5204561948776245}",,,,,,,"['negative', 'neutral', 'neutral', 'neutral']",neutral,1
4,NCT04199728,"{'position': 1, 'link': 'https://onlinelibrary.wiley.com/doi/10.1111/cob.12676', 'title': 'Glucagon‐like‐peptide 1 receptor agonism and attempted suicide: A Mendelian randomisation study to assess a potential causal association - Nguyen - 2024 - Clinical Obesity', 'source': 'Wiley Online Library', 'date': 'May 23, 2024', 'snippet': 'Glucagon-like-peptide 1 receptor agonists (GLP-1RA) have transformed type 2 \ndiabetes (T2D) and obesity management.', 'thumbnail': 'https://serpapi.com/searches/6721b1a47ec4aefa940d1389/images/0c8415dd3b72c692dd48468fdbad020019de4d91a99feafe984a9d5345a9110c.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.5590799450874329}",,,,,,,,,,['neutral'],neutral,1
5,NCT00956098,"{'position': 1, 'link': 'https://www.nature.com/articles/s41392-022-01119-3', 'title': 'Targeted therapeutics and novel signaling pathways in non-alcohol-associated fatty liver/steatohepatitis (NAFL/NASH)', 'source': 'Nature', 'date': 'Aug 13, 2022', 'snippet': 'In this review, we discussed recent developments in etiology and \nprospective therapeutic targets, as well as pharmacological candidates in \npre/clinical trials...', 'thumbnail': 'https://serpapi.com/searches/6721b1c974f0a452bffe6e81/images/3154712ef40168bb6efa1fcc22d64ab459879cda7d5098e53daac72d68f2bbfe.png', 'sentiment': 'neutral', 'sentiment_prob': 0.9206169247627258}",,,,,,,,,,['neutral'],neutral,1
6,NCT03844074,"{'position': 1, 'link': 'https://www.empr.com/home/news/drugs-in-the-pipeline/fda-rejects-intravitreal-formulation-of-bevacizumab-for-wet-amd/', 'title': 'FDA Rejects Intravitreal Formulation of Bevacizumab for Wet AMD', 'source': 'Medical Professionals Reference', 'date': 'Aug 30, 2023', 'snippet': 'The Food and Drug Administration (FDA) has issued a Complete Response \nLetter (CRL) to Outlook Therapeutics regarding the Biologics License \nApplication (BLA)...', 'thumbnail': 'https://serpapi.com/searches/6721b1d0a775f24217d434bd/images/6e68d6abe075243934487d0a371f8a724febdb7d390038f8c3e40aeff361f794.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.8640140891075134}",,,,,,,,,,['neutral'],neutral,1
7,NCT02122913,"{'position': 1, 'link': 'https://www.nejm.org/doi/full/10.1056/NEJMoa1714448', 'title': 'Efficacy of Larotrectinib in TRK Fusion–Positive Cancers in Adults and Children', 'source': 'The New England Journal of Medicine', 'date': 'Feb 21, 2018', 'snippet': 'Fusions involving one of three tropomyosin receptor kinases (TRK) occur in \ndiverse cancers in children and adults. We evaluated the efficacy...', 'thumbnail': 'https://serpapi.com/searches/6721b1e4a54d7ea585de8c48/images/f1a57890d38a78707244ec48d33168d2df3aa8e096563ddf321a43972c0ca760.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.788867712020874}","{'position': 2, 'link': 'https://www.onclive.com/view/dr-subbiah-on-outcomes-with-larotrectinib-in-trk-fusion-positive-solid-tumors', 'title': 'Dr Subbiah on Outcomes With Larotrectinib in TRK Fusion–Positive Solid Tumors', 'source': 'OncLive', 'date': 'Aug 20, 2024', 'snippet': 'Vivek Subbiah, MD, chief, Early-Phase Drug Development, Sarah Cannon \nResearch Institute, discusses key data from the observational VICTORIA...', 'thumbnail': 'https://serpapi.com/searches/6721b1e4a54d7ea585de8c48/images/f1a57890d38a7870bf8955ba0831824928982f3bed9d2241e748c1287b7efc17.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.8828447461128235}","{'position': 3, 'link': 'https://www.mdanderson.org/publications/cancer-frontline/targeted-therapy-larotrectinib-shows-marked-responses-in-patient.h00-159381156.html', 'title': 'Larotrectinib shows marked responses with NTRK gene fusions, limited response in non-fusion mutations', 'source': 'MD Anderson Cancer Center', 'date': 'Apr 28, 2020', 'snippet': 'An MD Anderson analysis of three clinical trials shows that the targeted \ntherapy drug larotrectinib resulted in a 79% overall response rate...', 'thumbnail': 'https://serpapi.com/searches/6721b1e4a54d7ea585de8c48/images/f1a57890d38a7870304093ba9d747a9cbb6c924b814053217a14dda21fdad3ee.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.8391838669776917}","{'position': 4, 'link': 'https://www.clinicaltrialsarena.com/projects/vitrakvi-larotrectinib-advanced-solid-tumours/', 'title': 'Vitrakvi (larotrectinib) for Advanced Solid Tumours with NTRK Gene Fusion', 'source': 'Clinical Trials Arena', 'date': 'Dec 11, 2018', 'snippet': 'Vitrakvi (larotrectinib) is an oral tyrosine kinase inhibitor for the \ntreatment of advanced solid tumours with NTRK gene fusion.', 'thumbnail': 'https://serpapi.com/searches/6721b1e4a54d7ea585de8c48/images/f1a57890d38a78707577633240854d4eca261f2f8dd4e05781a04241d190e5e3.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.9096885919570923}","{'position': 5, 'link': 'https://www.cancerhealth.com/blog/fda-approves-companion-diagnostic-test-vitrakvi', 'title': 'FDA Approves Companion Diagnostic Test for Vitrakvi', 'source': 'Cancer Health', 'date': 'Oct 26, 2020', 'snippet': 'On October 23, 2020, the Food and Drug Administration approved the \nnext-generation sequencing (NGS)-based FoundationOne CDx test (Foundation...', 'thumbnail': 'https://serpapi.com/searches/6721b1e4a54d7ea585de8c48/images/f1a57890d38a787043e2d7b280f190ee9b294ea4bad83c263793d71cb47bb1f0.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.7966646552085876}",,,,,,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",neutral,1
8,NCT01462942,"{'position': 1, 'link': 'https://copdnewstoday.com/news/duaklir-available-copd-patients-us/', 'title': 'Duaklir Now Available to COPD Patients in the U.S.', 'source': 'COPD News Today', 'date': 'Oct 29, 2019', 'snippet': 'Duaklir is now available to patients with chronic obstructive pulmonary \ndisease (COPD) living in the U.S., Circassia Pharmaceuticals...', 'thumbnail': 'https://serpapi.com/searches/6721b1ee8a7c0939084c5c6a/images/03728386d5e4cd12d0739064ee53ec519e57aa668daf7290d19280e62044a556.jpeg', 'sentiment': 'neutral', 'sentiment_prob': 0.7435298562049866}",,,,,,,,,,['neutral'],neutral,1
9,NCT00120003,"{'position': 1, 'link': 'https://www.ahajournals.org/doi/10.1161/strokeaha.113.001022', 'title': 'Effects of Candesartan in Acute Stroke on Cognitive Function and Quality of Life:', 'source': 'American Heart Association Journals', 'date': 'May 9, 2013', 'snippet': 'Background and Purpose—High blood pressure is common in the acute phase of \nstroke and is associated with poor outcome.', 'thumbnail': 'https://serpapi.com/searches/6721b1ef8f2bc259e15fa5b3/images/e842102b296d5d013119a0f08766e4fe3d6a69bd51a57374350f48e8a0c3c20a.jpeg', 'sentiment': 'negative', 'sentiment_prob': 0.6420814990997314}",,,,,,,,,,['negative'],negative,0
